contract_id,summary,termination_clause,confidentiality_clause,liability_clause
contract_25,"### Detailed Summary:

**Purpose:**
The document is an agreement between Guarantors and the Franchisor to provide financial guarantees for Master Franchisee's obligations under the Master Franchise Agreement. The primary purpose of this guarantee is to ensure that Master Franchisee fulfills all its contractual duties as outlined in the Master Franchise Agreement, thereby protecting the rights and interests of both parties.

**Key Obligations:**
- **Payment of Obligations:** Guarantors must pay or cause to be paid all monies due by Master Franchisee under the Master Franchise Agreement.
- **Full Performance Guarantee:** Guarantors agree to unconditionally guarantee that Master Franchisee will perform all obligations set forth in the Master Franchise Agreement on time and as required.
- **Indemnification Clause:** Guarantors must indemnify and save harmless Franchisor against losses, damages, costs, and expenses resulting from any failure by Master Franchisee to meet its obligations under the Master Franchise Agreement.

**Risks, Penalties, and Termination:**
- **Risk of Non-Payment or Failure to Perform:** Guarantors' obligation is contingent on Master Franchisee's ability to pay the required monies as per the agreement.
- **Penalty Clause:** If Guarantors fail to perform their obligations under this guarantee, they will be subject to penalties that may include monetary damages and other specified actions by Franchisor.
- **Termination Clause:** The guarantor’s obligations are not affected if Master Franchisee violates any obligations in the Master Franchise Agreement. In such cases, Guarantors waive notice of amendment or demand for payment or performance. However, this does not affect their responsibilities to indemnify and protect Franchisor against claims arising from non-payment or failure to perform.

### Summary (120–150 words):
The document outlines a guarantee agreement between Guantors and the Franchisor, ensuring that Master Franchisee will meet its contractual obligations under the Master Franchise Agreement. Guarantors must pay all monies due by Master Franchisee, provide full performance assurance, indemnify Franchisor against any losses incurred from non-performance, and protect Franchisor's rights in case of disputes or liquidation of Master Franchisee. The agreement also specifies that Guarantors’ obligations are unaffected by the Master Franchise Agreement’s enforceability, termination due to bankruptcy, or dissolution of Master Franchisee.","Guarantors shall indemnify and save harmless Franchisor and its affiliates against and from all losses, damages, costs, and expenses which Franchisor and its affiliates may sustain, incur, or become liable for by reason of: (1) the failure for any reason whatsoever of Master Franchisee to pay the monies payable pursuant to the Master Franchise Agreement or to do and perform any other act, matter or thing pursuant to the provisions of the Master Franchise Agreement",Guarantors shall pay or cause to be paid to Franchisor all monies payable by Master Franchisee under the Master Franchise Agreement on the days and times and in the manner therein appointed for payment thereof.,"Guarantors shall indemnify and save harmless Franchisor and its affiliates against and from all losses, damages, costs, and expenses which Franchisor and its affiliates may sustain, incur, or become liable for by reason of: (1) the failure for any reason whatsoever of Master Franchisee to pay the monies payable pursuant to the Master Franchise Agreement or to do and perform any other act, matter or thing pursuant to the provisions of the Master Franchise Agreement"
contract_26,"This strategic alliance agreement between TKCI and SIC is designed to harness tribal sovereignty to create revenue streams through multiple industry expansions, utilizing existing marketing channels to minimize capital requirements and risks. Key obligations include TKCI establishing a Holding Company for business operations and managing financial responsibilities including accounting and compliance. SIC commits to operational support with assistance in managing capital recruitment functions, interfacing with accountants on tax matters, and handling regulatory compliance.

TKCI must establish a subsidiary for separate record-keeping and reporting, while SIC agrees to ensure its Chief Financial Officer duties are fulfilled by TKCI. There is no explicit mention of termination clauses or penalties, but the agreement states that indemnities and warranties will continue until all commitments have been met. The term runs for 24 months, with mutual renewal subject to approval, ensuring continued business support beyond the initial agreement period.","twenty-four (24) months. The Agreement may be renewed, subject to mutual written approval. Notwithstanding the completion, expiration or termination of this Agreement, the indemnities warranties and undertakings contained or referred to in this Agreement shall continue to subsist for as long as may be necessary for the purpose of giving effect to each one and every one of them.",NOT FOUND,"arbitration and court costs, and reasonable attorney's fees."
contract_27,"### Summary of Virtual Item Processing Systems, Inc. Outsourcing Agreement with Brokers National Life Assurance Company

This outsourcing agreement between Virtual Item Processing Systems, Inc. and Brokers National Life Assurance Company establishes a long-term service arrangement for electronic data processing services (EDP). The purpose is to allow BNL to access VIP's software system to process and manage its insurance policies efficiently.

Key Obligations:

1. **Hardware and Software Provision**: BNL must purchase all necessary hardware, software, data lines, communications equipment, and related infrastructure from VIP at their own expense.
2. **VIP System Compatibility**: VIP will ensure that the Equipment is compatible with the VIP System.
3. **Data Communication Access**: During the agreement term, VIP will provide access to the VIP System for BNL's use via one data communication line or up to seventy addressable devices.
4. **Enhancements**: VIP may make enhancements to the VIP System at their discretion and expense as per BNL's request.

Risks and Penalties:

- If requested by BNL, VIP will inspect Equipment before its use with the VIP System.
- Any additional fees for enhancing or adding more communication lines/ devices are set forth in paragraph 5(F) of this Agreement.
- Failure to meet service requirements could lead to penalties as outlined in the agreement.

Termination and Breach Consequences:

- The agreement is non-cancellable unless both parties agree to an amendment.
- If any party breaches the agreement, the other can terminate the contract with immediate effect.",BROKERS NATIONAL LIFE ASSURANCE COMPANY E - 4,BNL acknowledges and agrees that such Security System is adequate to protect the confidential information and data of BNL processed by the VIP System,VIP shall be responsible at its expense for the proper maintenance and documentation of the VIP System.
contract_28,"This agreement between PPG Paints Trading (Shanghai) Co Ltd and NeoMedia Micro Paint Repair China sets up a distributorship for automotive refinishing products in mainland China. The main objectives are: 
- To market and sell ""Deltron"" and ""ACS"" brand automotive finishing products to repair shops in the defined territory.
- To appoint NeoMedia as a direct PPG Shanghai distributor, providing exclusivity in the Beijing area.
- To allow PPG to make independent sales or appoint other distributors without paying any commission, under supervision of Distributor's approval. 
- No direct sales allowed between PPG and Auto Center except through written permission from Distributor.

Key obligations: Both parties are committed to marketing these products exclusively and cooperating on appointments and sales strategies. Risks include potential competition, conflicting territories, and the need for continuous negotiation. Penalties cover non-compliance with exclusivity agreements or breaches of supervision requirements. The termination clause involves changing the distributor if PPG decides to appoint others in future.","WHEREAS: A. PPG SHANGHAI desires DISTRIBUTOR to market and sell PPG's ""Deltron"" and ""ACS"" brand products, as hereinafter defined in Section 2 (the ""Products""), to the repair chain shops in P.R.China as listed on Appendix 4 (the ""Territory"")","It is understood and agreed that as used herein the term ""PPG"" shall mean PPG Industries Inc. and/or one or more affiliated companies of PPG Industries Inc. as the context may require.","customer employee or government official to use his/her influence with the customer or the government (or instrumentality thereof), respectively, to affect or influence any act or decision of such customer or government (or instrumentality), in order to assist PPG SHANGHAI or DISTRIBUTOR in obtaining or retaining business or directing business to any other party. As used in this Section, the term ""government official"" means any officer or employee of any government or any department, agency, instrumentality or wholly-owned corporation thereof, or any person acting in an official capacity for or on behalf of any such government or department, agency, instrumentality or wholly-owned corporation thereof, or any candidate for political office."
contract_29,"This Co-Development Agreement is between PhaseBio Pharmaceuticals Inc. and SFJ Pharmaceuticals X, Ltd., with the primary goal of facilitating the development and approval of a pharmaceutical product called ""the Product"" to treat patients suffering from the effects of a compound named ""Ticagrelor"". PB has rights to this product and currently conducts clinical trials in the United States and European Clinical Trial Countries. SFJ, which is an affiliated entity, agrees to provide operational support for these clinical trials in Europe, conduct additional Asian country trials, and offer global financing for continuing Product development.

The agreement outlines various obligations on both parties:
- PB provides operational support, including conducting and managing clinical studies.
- SFJ commits to provide ongoing funding through the European Clinical Trial Countries.
- Both entities must adhere to all Anti-Corruption Laws during the course of business.

Key risks include potential regulatory approval delays, financial commitments not being fully covered by third-party financing, or compliance issues related to anti-corruption laws. Penalties and termination clauses are not detailed but imply severing ties if either party breaches critical terms.",Exhibit 10.21 Certain information has been excluded from this agreement (indicated by “[***]”) because such information (i) is not material and (ii) would be competitively harmful if publicly disclosed.,Exhibit 10.21 Certain information has been excluded from this agreement (indicated by “[***]”) because such information (i) is not material and (ii) would be competitively harmful if publicly disclosed.,"obtaining all necessary approvals of each Protocol (including as required by Applicable Laws) within the SFJ Territory, and PB will be responsible for obtaining all necessary approvals of the Phase 3 Trial. SFJ will be responsible for preparing a draft amendment to such Protocol, which will only be effective and part of such Protocol upon approval by the JDC pursuant to Section 5.2.2, which approval will not be unreasonably withheld and which will be communicated to the Parties as soon as reasonably practicable following the JDC’s receipt of the draft amendment from SFJ."
contract_30,"### Summary of Master Service Agreement

This document outlines a framework for providing Clinical Research Services to Client by CRO in South Africa. The purpose is to establish a professional working relationship and define the scope and responsibilities of both parties involved.

Key Obligations:
- **Client** agrees to provide necessary documents and information as requested, while CRO commits to perform services as per Addenda details.
- Both parties must adhere to professional standards including SOPs and GCP guidelines, with CRO remaining liable for subcontractors’ actions.
- Payment is based on satisfactory performance in each Project-specific Addendum, with routine calls included within the agreed rate. Additional fees are not payable unless explicitly stated.

Risks:
- Client risks non-payment if services do not meet expectations under each project-specific addendum.
- CRO’s liability includes all acts and omissions of its employees and approved subcontractors, potentially leading to reputational damage or financial penalties.

Penalties & Termination:
- Breaches may lead to termination without compensation, except for justified disputes that require mediation. No penalty clauses are specified but imply potential financial consequences based on breach severity.
- Client can terminate the agreement at any time with 30 days’ notice if services fall below expectations under Addenda or there is a material change in Client’s requirements.

The summary highlights the importance of clear communication, adherence to professional standards, and responsibility for subcontractors in achieving successful clinical research.","3.0 Period of the Agreement  
3.1 This Agreement shall take effect on the date of signature of the Agreement by both parties and shall terminate when all obligations required of both parties hereunder are performed unless either terminated earlier or extended by the parties pursuant to the terms of this Agreement subject to clause 4.0.  

4.0 Termination  
4.1 Either party may terminate this Agreement on thirty (30) days written notice if the other materially breaches this Agreementprovided, however that the party in breach shall have the right to cure such breach within thirty (30) days after receipt of written notice of the other party’s intention to terminate.  

4.2 Client may terminate this Agreement on thirty (30) days written notice without cause.",Confidential.Page.7-of-7,CRO will remain fully liable for the acts and omissions of its employees and approved subcontractors as if performed by CRO.
contract_31,"### Detailed Summary

This agreement pertains to the licensing and maintenance of software for TELKOM South Africa Limited, with SYSTEMS APPLICATIONS PRODUCTS (AFRICA) LIMITED (""SAP AFRICA""). SAP AFRICA agrees to grant a license under certain conditions to TELKOM. The main purpose is to facilitate TELKOM's e-commerce exchange through an Internet-based business platform known as the ""Marketplace."" This software enables TELKOM to establish, manage, and operate such a marketplace.

Key Obligations of Each Party:

1. **SAP AFRICA:** 
    - Grants permission for TELKOM to use the SOFTWARE.
    - The terms cover establishment, management, and operation of an Internet-based business platform (Marketplace).
    - SAP AFRICA is bound by clauses 3 through 7 regarding AFFILIATE companies and their definitions, as well as specific entities and agreements with them.

2. **TELKOM:**
    - Must have a valid license to use the SOFTWARE.
    - The terms require the maintenance of certain facilities (Designated SITES) in which the software is installed on approved units (DESIGNATED UNITS).
    - TELKOM must comply with formal arrangements and agreements made between them and other parties.

Risks, Penalties, Termination, and Breach Consequences:

- Failure to abide by terms may result in penalty clauses.
- Termination can occur due to breach of agreement or failure to meet obligations.
- If SAP AFRICA fails to grant the license, there is a termination clause that allows TELKOM to seek alternative solutions.

### Terms Specific to Clause 3.9:
1. ""Marketplace"" refers to an Internet-based business platform providing e-commerce exchange for various entities within the TERRITORY.
2. The terms of this agreement do not affect any agreements or arrangements between SAP AFRICA and third parties, including those with business third parties (clause 2.3.4).
3. Designated Units refer to individual computer servers located at specific DESIGNATED SITES where the software is installed.

This summary encapsulates the main elements of the contract agreement between SAP AFRICA and TELKOM concerning the licensing of an e-commerce platform, including key obligations, risks, penalties for non-compliance, termination conditions, and how the terms apply to third-party relationships.","TERMINATION CLAUSE: Upon signature by the party signing last in time, shall supercede and prevail over all other arrangements and agreements between them as to its subject matter.","It is recorded that the SOFTWARE licensed in terms of this AGREEMENT, and its functionality, enables, and is to be USED to establish, operate and administer a central Internet/Web based market or ""e-commerce exchange"" (""a Marketplace""), for USE by TELKOM, it's employees and BUSINESS THIRD PARTIES for the purposes of: 3. 9. 1. buying or selling, or offering to buy or sell, products and/or services",SUPERSEDES AND PREVAILS
contract_32,"**Summary:**

This Confidential Agreement between Corio Inc. and Changepoint, Inc., provides terms under which Corio offers hosting services to customers using software owned by Changepoint. The key elements include:

- **Purpose:** To provide hosting and support for the Software, including ASP (Application Service Provider) services.
- **Key Obligations:**
  - Corio grants a license to use and host the Software on its servers.
  - Corio provides operational support, basic infrastructure support, and customer support.
  - Changepoint may also market and promote Corio’s software/services as part of this agreement.
  - The agreement includes clauses for revenue sharing based on usage fees (ASP) and additional service charges.
- **Risks and Penalties:**
  - Failure to comply with licensing or support terms can result in termination of the agreement without penalty. 
  - Termination may occur if either party breaches the agreement, requiring the other party to refund any fees paid but not yet used.
  
The summary covers essential points such as the background, definitions, key obligations, risks and penalties, ensuring a comprehensive understanding of the agreement's terms and conditions.",DISCONTINUING THE CORIO SERVICES AND ANOTHER CUSTOMER SUBSCRIBES,"Publicly Promote Corio as its preferred hosting supplier and partner for the Software; Publicly Promote the Software as their preferred PSA Application and will, in any non-public marketing or promotion of the hosting services offered by Corio, treat Changepoint as their preferred supplier and partner for PSA Applications.","DOCUMENTATION, RELATIONSHIP MANAGERS, SOFTWARE, TERRITORY, UPDATE(S), UPGRADE(S)"
contract_33,"This Recipe Development Agreement is between Reed’s Inc., a Delaware corporation, and B C Marketing Concepts Inc., dba Full Sail Brewing Company. The purpose of this agreement is to facilitate the development of formulas for ginger-based flavored alcohol beverage products by both parties.

Key Obligations:
- Reed's will provide ingredients and financial support.
- Company must develop recipes using ginger as a base.
- Both parties commit to maintain confidentiality regarding proprietary information shared during the process.
- Development Committee review and approval of recipes is required prior to production.

Risks, Penalties, Termination or Breach Consequences:
- Failure to comply with Applicable Laws and Regulations can result in termination.
- Potential penalties include breach costs or additional development work.
- If a party breaches confidentiality agreements, the other may seek specific performance, injunctive relief, and/or damages.",Company may not assign this Agreement without Reed's prior written approval.,"REED’S DESires TO ENGAGE COMPANY, AND COMPANY DESIRES TO BE ENGAGED, TO PARTICIPATE AND ASSIST IN THE DEVELOPMENT OF FORMULAS FOR GINGER-BASED FLAVORED ALCOHOL BEVERAGE PRODUCTS FOR REED’S (THE “PRODUCTS”) AS IDENTIFIED IN EXHIBIT A.","(b) “Company Intellectual Property” means all Intellectual Property that: (i) was owned or developed by Company prior to the execution of this Agreement  
and (ii) is or was independently developed or acquired by Company without contribution or assistance from Reed’s, Reed’s Confidential Information, or Reed’s Intellectual Property."
contract_34,"**Summary of the Strategic Alliance Agreement:**

This strategic alliance agreement between Allscripts Healthcare, LLC and Phreesia, Inc., establishes a framework for collaboration and partnership focused on mutually beneficial software offerings in healthcare. The key obligations include:

- **Allscripts’ Obligations:** Provide practice management solutions to both Phreesia and third parties.
- **Phreesia’s Obligations:** Develop, license, and make available certain software and services as described within the agreement.

Both companies aim to leverage their respective strengths by providing seamless integration of healthcare practices and patient intake management. The risks are mitigated through confidentiality provisions that prohibit disclosing sensitive information not material enough to harm competitors. Termination or breach penalties exist but will cause significant competitive harm, emphasizing the importance of compliance.

This collaboration is expected to enhance market presence and revenue for both parties while maintaining a high standard of care in the healthcare industry.","“E&B Transaction”, “Eligibility and Benefit Services”, “Error”, “Harmful Code”, “HITECH”","CERTAIN CONFIDENTIAL INFORMATION CONTAINED IN THIS DOCUMENT, MARKED BY [***], HAS BEEN OMITTED BECAUSE IT IS NOT MATERIAL AND WOULD LIKELY CAUSE COMPETITIVE HARM TO THE COMPANY IF PUBLICLY DISCLOSED. STRATEGIC ALLIANCE AGREEMENT This Strategic Alliance Agreement (this “Agreement”), effective as of December 10, 2015 (the “Effective Date”), is by and between Allscripts Healthcare, LLC, a North Carolina limited liability company (“Allscripts”) on behalf of itself and its Affiliates and Phreesia, Inc., a Delaware corporation (the “Company” or “Phreesia”). Allscripts and the Company are sometimes referred to herein as a “Party” and collectively as the “Parties”. RECITALS WHEREAS, Allscripts is a leading provider of clinical and revenue cycle software, connectivity and information solutions for physicians, including its practice management solutions","Company's Marks. For avoidance of doubt, Allscripts may market the Subscription Software Services, including without limitation, the electronic cashiering features and functionality of the Subscription Software Services under the Allscripts name.

Allscripts will not authorize or allow any value added reseller, distributor, integrator, OEM partner, or other third party to market, demonstrate, resell, sublicense, or otherwise distribute or make available the Installed Software, Documentation or Subscription Software Services, or Merchant Processing Services except that Allscripts is permitted to:

(a) sign Customer Agreements with Sublicensed Customers who are Partnering Organizations who, in turn, distribute or make available the Installed Software, Documentation or Subscription Software Services to (or facilitate the procurement of Merchant Processing Services for) their respective medical staffs, provider participants, or members as permitted under applicable Law;

(b) exercise its rights under this Section 2 through Company approved value added resellers appointed by Allscripts from time to time (“Allscripts Resellers”)."
